Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Sat, Mar 16, 2024",8:00p,Washington Wizards,98,Chicago Bulls,127,Box Score,,"21,697",United Center,
"Sat, Mar 16, 2024",8:00p,Oklahoma City Thunder,118,Memphis Grizzlies,112,Box Score,,"17,012",FedEx Forum,
"Sat, Mar 16, 2024",8:30p,Golden State Warriors,128,Los Angeles Lakers,121,Box Score,,"18,997",Crypto.com Arena,
"Sat, Mar 16, 2024",9:30p,Minnesota Timberwolves,119,Utah Jazz,100,Box Score,,"18,206",Delta Center,
"Sat, Mar 16, 2024",10:00p,New York Knicks,98,Sacramento Kings,91,Box Score,,"18,311",Golden 1 Center,
"Sun, Mar 17, 2024",1:00p,Phoenix Suns,129,Milwaukee Bucks,140,Box Score,,"17,783",Fiserv Forum,
"Sun, Mar 17, 2024",3:00p,Miami Heat,104,Detroit Pistons,101,Box Score,,"20,004",Little Caesars Arena,
"Sun, Mar 17, 2024",3:30p,Denver Nuggets,105,Dallas Mavericks,107,Box Score,,"20,377",American Airlines Center,
"Sun, Mar 17, 2024",6:00p,Toronto Raptors,96,Orlando Magic,111,Box Score,,"18,846",Kia Center,
"Sun, Mar 17, 2024",6:00p,Boston Celtics,130,Washington Wizards,104,Box Score,,"20,333",Capital One Arena,
"Sun, Mar 17, 2024",7:00p,Brooklyn Nets,115,San Antonio Spurs,122,Box Score,OT,"16,057",Moody Center,
"Sun, Mar 17, 2024",9:30p,Atlanta Hawks,110,Los Angeles Clippers,93,Box Score,,"19,37",Crypto.com Arena,
"Mon, Mar 18, 2024",7:00p,Cleveland Cavaliers,108,Indiana Pacers,103,Box Score,,"17,274",Gainbridge Fieldhouse,
"Mon, Mar 18, 2024",7:30p,Detroit Pistons,94,Boston Celtics,119,Box Score,,"19,156",TD Garden,
"Mon, Mar 18, 2024",7:30p,Miami Heat,91,Philadelphia 76ers,98,Box Score,,"19,782",Wells Fargo Center,
"Mon, Mar 18, 2024",8:00p,Portland Trail Blazers,107,Chicago Bulls,110,Box Score,,"20,293",United Center,
"Mon, Mar 18, 2024",9:00p,Minnesota Timberwolves,114,Utah Jazz,104,Box Score,,"18,206",Delta Center,
"Mon, Mar 18, 2024",10:00p,New York Knicks,119,Golden State Warriors,112,Box Score,,"18,064",Chase Center,
"Mon, Mar 18, 2024",10:00p,Memphis Grizzlies,111,Sacramento Kings,121,Box Score,OT,"17,832",Golden 1 Center,
