Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Mon, Dec 18, 2023",7:30p,Minnesota Timberwolves,112,Miami Heat,108,Box Score,,"19,819",Kaseya Center,
"Mon, Dec 18, 2023",7:30p,Charlotte Hornets,99,Toronto Raptors,114,Box Score,,"19,288",Scotiabank Arena,
"Mon, Dec 18, 2023",8:00p,Memphis Grizzlies,97,Oklahoma City Thunder,116,Box Score,,"16,409",Paycom Center,
"Mon, Dec 18, 2023",9:00p,Dallas Mavericks,104,Denver Nuggets,130,Box Score,,"19,659",Ball Arena,
"Mon, Dec 18, 2023",9:00p,Brooklyn Nets,108,Utah Jazz,125,Box Score,,"18,206",Delta Center,
"Mon, Dec 18, 2023",10:00p,Washington Wizards,131,Sacramento Kings,143,Box Score,,"17,794",Golden 1 Center,
"Mon, Dec 18, 2023",10:30p,New York Knicks,114,Los Angeles Lakers,109,Box Score,,"18,997",Crypto.com Arena,
"Tue, Dec 19, 2023",7:30p,Memphis Grizzlies,115,New Orleans Pelicans,113,Box Score,,"18,355",Smoothie King Center,
"Tue, Dec 19, 2023",8:00p,San Antonio Spurs,119,Milwaukee Bucks,132,Box Score,,"17,729",Fiserv Forum,
"Tue, Dec 19, 2023",10:00p,Boston Celtics,126,Golden State Warriors,132,Box Score,OT,"18,064",Chase Center,
"Tue, Dec 19, 2023",10:00p,Phoenix Suns,104,Portland Trail Blazers,109,Box Score,,"18,233",Moda Center,
"Wed, Dec 20, 2023",7:00p,Utah Jazz,116,Cleveland Cavaliers,124,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Wed, Dec 20, 2023",7:00p,Charlotte Hornets,113,Indiana Pacers,144,Box Score,,"16,761",Gainbridge Fieldhouse,
"Wed, Dec 20, 2023",7:00p,Miami Heat,115,Orlando Magic,106,Box Score,,"19,129",Kia Center,
"Wed, Dec 20, 2023",7:00p,Minnesota Timberwolves,113,Philadelphia 76ers,127,Box Score,,"20,365",Wells Fargo Center,
"Wed, Dec 20, 2023",7:30p,New York Knicks,121,Brooklyn Nets,102,Box Score,,"18,071",Barclays Center,
"Wed, Dec 20, 2023",7:30p,Denver Nuggets,113,Toronto Raptors,104,Box Score,,"19,8",Scotiabank Arena,
"Wed, Dec 20, 2023",8:00p,Los Angeles Lakers,108,Chicago Bulls,124,Box Score,,"21,234",United Center,
"Wed, Dec 20, 2023",8:00p,Atlanta Hawks,134,Houston Rockets,127,Box Score,,"18,055",Toyota Center,
"Wed, Dec 20, 2023",8:30p,Los Angeles Clippers,120,Dallas Mavericks,111,Box Score,,"20,31",American Airlines Center,
"Wed, Dec 20, 2023",10:00p,Boston Celtics,144,Sacramento Kings,119,Box Score,,"17,874",Golden 1 Center,
"Thu, Dec 21, 2023",7:00p,Utah Jazz,119,Detroit Pistons,111,Box Score,,"18,122",Little Caesars Arena,
"Thu, Dec 21, 2023",7:30p,New Orleans Pelicans,123,Cleveland Cavaliers,104,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Thu, Dec 21, 2023",8:00p,San Antonio Spurs,95,Chicago Bulls,114,Box Score,,"20,697",United Center,
"Thu, Dec 21, 2023",8:00p,Indiana Pacers,103,Memphis Grizzlies,116,Box Score,,"18,16",FedEx Forum,
"Thu, Dec 21, 2023",8:00p,Orlando Magic,114,Milwaukee Bucks,118,Box Score,,"17,928",Fiserv Forum,
"Thu, Dec 21, 2023",8:00p,Los Angeles Clippers,115,Oklahoma City Thunder,134,Box Score,,"18,203",Paycom Center,
"Thu, Dec 21, 2023",9:00p,Los Angeles Lakers,111,Minnesota Timberwolves,118,Box Score,,"18,024",Target Center,
"Thu, Dec 21, 2023",10:00p,Washington Wizards,118,Portland Trail Blazers,117,Box Score,,"18,69",Moda Center,
"Fri, Dec 22, 2023",7:00p,Toronto Raptors,111,Philadelphia 76ers,121,Box Score,,"20,23",Wells Fargo Center,
"Fri, Dec 22, 2023",7:30p,Denver Nuggets,122,Brooklyn Nets,117,Box Score,,"17,732",Barclays Center,
"Fri, Dec 22, 2023",8:00p,Dallas Mavericks,96,Houston Rockets,122,Box Score,,"18,055",Toyota Center,
"Fri, Dec 22, 2023",8:00p,Atlanta Hawks,113,Miami Heat,122,Box Score,,"20,029",Kaseya Center,
"Fri, Dec 22, 2023",10:00p,Washington Wizards,118,Golden State Warriors,129,Box Score,,"18,064",Chase Center,
"Fri, Dec 22, 2023",10:00p,Phoenix Suns,105,Sacramento Kings,120,Box Score,,"17,794",Golden 1 Center,
"Sat, Dec 23, 2023",12:30p,Milwaukee Bucks,130,New York Knicks,111,Box Score,,"19,812",Madison Square Garden (IV),
"Sat, Dec 23, 2023",3:30p,Boston Celtics,145,Los Angeles Clippers,108,Box Score,,"19,37",Crypto.com Arena,
"Sat, Dec 23, 2023",7:00p,Denver Nuggets,102,Charlotte Hornets,95,Box Score,,"19,165",Spectrum Center,
"Sat, Dec 23, 2023",7:00p,Orlando Magic,117,Indiana Pacers,110,Box Score,,"17,274",Gainbridge Fieldhouse,
"Sat, Dec 23, 2023",7:00p,Houston Rockets,106,New Orleans Pelicans,104,Box Score,,"17,399",Smoothie King Center,
"Sat, Dec 23, 2023",7:30p,Memphis Grizzlies,125,Atlanta Hawks,119,Box Score,,"17,632",State Farm Arena,
"Sat, Dec 23, 2023",7:30p,Detroit Pistons,115,Brooklyn Nets,126,Box Score,,"17,732",Barclays Center,
"Sat, Dec 23, 2023",7:30p,Utah Jazz,126,Toronto Raptors,119,Box Score,,"19,42",Scotiabank Arena,
"Sat, Dec 23, 2023",8:00p,Cleveland Cavaliers,109,Chicago Bulls,95,Box Score,,"19,583",United Center,
"Sat, Dec 23, 2023",8:00p,Los Angeles Lakers,129,Oklahoma City Thunder,120,Box Score,,"18,203",Paycom Center,
"Sat, Dec 23, 2023",8:30p,San Antonio Spurs,119,Dallas Mavericks,144,Box Score,,"20,409",American Airlines Center,
"Sat, Dec 23, 2023",8:30p,Portland Trail Blazers,106,Golden State Warriors,126,Box Score,,"18,064",Chase Center,
"Sat, Dec 23, 2023",10:00p,Minnesota Timberwolves,110,Sacramento Kings,98,Box Score,,"17,983",Golden 1 Center,
"Mon, Dec 25, 2023",12:00p,Milwaukee Bucks,122,New York Knicks,129,Box Score,,"19,812",Madison Square Garden (IV),
"Mon, Dec 25, 2023",2:30p,Golden State Warriors,114,Denver Nuggets,120,Box Score,,"19,811",Ball Arena,
"Mon, Dec 25, 2023",5:00p,Boston Celtics,126,Los Angeles Lakers,115,Box Score,,"18,997",Crypto.com Arena,
"Mon, Dec 25, 2023",8:00p,Philadelphia 76ers,113,Miami Heat,119,Box Score,,"20,162",Kaseya Center,
"Mon, Dec 25, 2023",10:30p,Dallas Mavericks,128,Phoenix Suns,114,Box Score,,"17,071",Footprint Center,
"Tue, Dec 26, 2023",7:00p,Brooklyn Nets,118,Detroit Pistons,112,Box Score,,"19,811",Little Caesars Arena,
"Tue, Dec 26, 2023",7:00p,Orlando Magic,127,Washington Wizards,119,Box Score,,"16,293",Capital One Arena,
"Tue, Dec 26, 2023",8:00p,Atlanta Hawks,113,Chicago Bulls,118,Box Score,,"21,42",United Center,
"Tue, Dec 26, 2023",8:00p,Indiana Pacers,123,Houston Rockets,117,Box Score,,"18,055",Toyota Center,
"Tue, Dec 26, 2023",8:00p,Memphis Grizzlies,116,New Orleans Pelicans,115,Box Score,OT,"18,538",Smoothie King Center,
"Tue, Dec 26, 2023",8:00p,Minnesota Timberwolves,106,Oklahoma City Thunder,129,Box Score,,"18,203",Paycom Center,
"Tue, Dec 26, 2023",8:00p,Utah Jazz,130,San Antonio Spurs,118,Box Score,,"18,579",Frost Bank Center,
"Tue, Dec 26, 2023",10:00p,Sacramento Kings,113,Portland Trail Blazers,130,Box Score,,"18,585",Moda Center,
"Tue, Dec 26, 2023",10:30p,Charlotte Hornets,104,Los Angeles Clippers,113,Box Score,,"19,37",Crypto.com Arena,
"Wed, Dec 27, 2023",7:00p,Philadelphia 76ers,112,Orlando Magic,92,Box Score,,"19,179",Kia Center,
"Wed, Dec 27, 2023",7:00p,Toronto Raptors,132,Washington Wizards,102,Box Score,,"15,437",Capital One Arena,
"Wed, Dec 27, 2023",7:30p,Milwaukee Bucks,144,Brooklyn Nets,122,Box Score,,"18,199",Barclays Center,
"Wed, Dec 27, 2023",8:00p,Phoenix Suns,129,Houston Rockets,113,Box Score,,"18,055",Toyota Center,
"Wed, Dec 27, 2023",8:00p,New York Knicks,120,Oklahoma City Thunder,129,Box Score,,"18,203",Paycom Center,
"Wed, Dec 27, 2023",8:30p,Cleveland Cavaliers,113,Dallas Mavericks,110,Box Score,,"20,377",American Airlines Center,
"Thu, Dec 28, 2023",7:30p,Detroit Pistons,122,Boston Celtics,128,Box Score,OT,"19,156",TD Garden,
"Thu, Dec 28, 2023",8:00p,Indiana Pacers,120,Chicago Bulls,104,Box Score,,"21,568",United Center,
"Thu, Dec 28, 2023",8:00p,Dallas Mavericks,110,Minnesota Timberwolves,118,Box Score,,"18,024",Target Center,
"Thu, Dec 28, 2023",8:00p,Utah Jazz,105,New Orleans Pelicans,112,Box Score,,"17,753",Smoothie King Center,
"Thu, Dec 28, 2023",9:00p,Memphis Grizzlies,105,Denver Nuggets,142,Box Score,,"19,733",Ball Arena,
"Thu, Dec 28, 2023",10:00p,Miami Heat,114,Golden State Warriors,102,Box Score,,"18,064",Chase Center,
"Thu, Dec 28, 2023",10:00p,San Antonio Spurs,118,Portland Trail Blazers,105,Box Score,,"19,335",Moda Center,
"Thu, Dec 28, 2023",10:30p,Charlotte Hornets,112,Los Angeles Lakers,133,Box Score,,"18,997",Crypto.com Arena,
"Fri, Dec 29, 2023",7:00p,New York Knicks,108,Orlando Magic,117,Box Score,,"19,587",Kia Center,
"Fri, Dec 29, 2023",7:00p,Brooklyn Nets,104,Washington Wizards,110,Box Score,,"16,825",Capital One Arena,
"Fri, Dec 29, 2023",7:30p,Sacramento Kings,117,Atlanta Hawks,110,Box Score,,"18,305",State Farm Arena,
"Fri, Dec 29, 2023",7:30p,Toronto Raptors,118,Boston Celtics,120,Box Score,,"19,156",TD Garden,
"Fri, Dec 29, 2023",7:30p,Milwaukee Bucks,119,Cleveland Cavaliers,111,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Fri, Dec 29, 2023",8:00p,Philadelphia 76ers,131,Houston Rockets,127,Box Score,,"18,055",Toyota Center,
"Fri, Dec 29, 2023",9:00p,Oklahoma City Thunder,119,Denver Nuggets,93,Box Score,,"19,808",Ball Arena,
"Fri, Dec 29, 2023",9:00p,Charlotte Hornets,119,Phoenix Suns,133,Box Score,,"17,071",Footprint Center,
"Fri, Dec 29, 2023",10:00p,San Antonio Spurs,128,Portland Trail Blazers,134,Box Score,,"18,861",Moda Center,
"Fri, Dec 29, 2023",10:30p,Memphis Grizzlies,106,Los Angeles Clippers,117,Box Score,,"19,37",Crypto.com Arena,
"Sat, Dec 30, 2023",5:00p,Miami Heat,109,Utah Jazz,117,Box Score,,"18,206",Delta Center,
"Sat, Dec 30, 2023",6:00p,Toronto Raptors,127,Detroit Pistons,129,Box Score,,"18,411",Little Caesars Arena,
"Sat, Dec 30, 2023",7:00p,New York Knicks,126,Indiana Pacers,140,Box Score,,"17,274",Gainbridge Fieldhouse,
"Sat, Dec 30, 2023",8:00p,Philadelphia 76ers,92,Chicago Bulls,105,Box Score,,"21,648",United Center,
"Sat, Dec 30, 2023",8:00p,Los Angeles Lakers,106,Minnesota Timberwolves,108,Box Score,,"18,024",Target Center,
"Sat, Dec 30, 2023",8:30p,Dallas Mavericks,132,Golden State Warriors,122,Box Score,,"18,064",Chase Center,
"Sun, Dec 31, 2023",3:00p,Atlanta Hawks,130,Washington Wizards,126,Box Score,,"17,042",Capital One Arena,
"Sun, Dec 31, 2023",7:00p,Los Angeles Lakers,109,New Orleans Pelicans,129,Box Score,,"18,434",Smoothie King Center,
"Sun, Dec 31, 2023",7:00p,Brooklyn Nets,108,Oklahoma City Thunder,124,Box Score,,"18,203",Paycom Center,
"Sun, Dec 31, 2023",7:00p,Boston Celtics,134,San Antonio Spurs,101,Box Score,,"18,886",Frost Bank Center,
"Sun, Dec 31, 2023",8:00p,Sacramento Kings,123,Memphis Grizzlies,92,Box Score,,"17,794",FedEx Forum,
"Sun, Dec 31, 2023",8:00p,Orlando Magic,107,Phoenix Suns,112,Box Score,,"17,071",Footprint Center,
